Xpos(316/1364),Ypos(95/1028)
650.9609375,525.5640625
650.9609375,525.3640625
650.9609375,525.0640625
650.9609375,524.6640625
650.9609375,524.1640625
650.9609375,523.5640625
650.9609375,522.8640625
650.9609375,522.0640625
650.9609375,520.8640625
650.992296039,519.265705931
651.086028085,517.273905083
651.27246523,514.896787279
651.580923367,512.145605838
652.039381505,509.034616776
652.674175218,505.580922615
653.509708113,501.804285007
654.568184456,497.726908217
655.869365897,493.373195851
657.430354959,488.769483486
659.265407658,483.943750127
661.385777312,478.92531167
663.799591247,473.744499706
666.51176175,468.432329203
669.523932253,463.0201587
672.834459325,457.539346735
676.438430677,452.020908279
680.327718984,446.49517492
684.491070928,440.991462554
688.914230493,435.537750189
693.580095157,430.160373399
698.468903268,424.88373579
703.558450562,419.73004163
708.82433343,414.719052568
714.240216299,409.867871127
719.778120161,405.190753323
725.438045016,400.687699157
731.219990863,396.358708628
737.123957704,392.203781736
743.123957704,388.222918481
749.123957704,384.416118864
755.123957704,380.783382884
761.123957704,377.324710541
767.123957704,374.040101836
773.123957704,370.929556768
779.123957704,367.993075337
785.123957704,365.230657543
791.123957704,362.642303387
797.123957704,360.228012868
803.123957704,357.999039304
809.123957704,355.963510021
815.123957704,354.126337305
821.123957704,352.48916459
827.092599165,351.050348444
832.998867119,349.804976577
838.812429974,348.744921666
844.533287731,347.870183709
850.16144039,347.180762707
855.696887951,346.676658661
861.139630413,346.357871569
866.489667777,346.224401432
871.747000042,346.27624825
876.91162721,346.513412022
881.983549279,346.93589275
886.962766249,347.543690432
891.849278122,348.33680507
896.643084896,349.315236662
901.344186571,350.478985209
905.952583149,351.828050711
910.468274628,353.362433168
914.891261009,355.08213258
919.221542291,356.987148947
923.459118475,359.077482269
927.603989561,361.353132545
931.656155549,363.814099777
935.615616438,366.460383963
939.482372229,369.291985104
943.256422921,372.3089032
946.937768516,375.511138251
950.526409012,378.898690257
954.022344409,382.471559218
957.425574708,386.229745133
960.73609991,390.173248004
963.953920012,394.302067829
967.079035017,398.616204609
970.111444923,403.115658345
973.05114973,407.800429035
